MS_system,Microservice,AVG_in_degree,AVG_out_degree,CM_in_degree,Clustering & Authority Score,Clustering & Betweenness Centrality,Clustering & Closeness Centrality,Clustering & Degree Centrality,Clustering & Eigenvector Centrality,Clustering & Hub Score,Clustering & In-degree Centrality,Clustering & Out-degree Centrality,Clustering & PageRank Centrality,ER_in_degree,ER_out_degree,LOUBAR_in_degree,LOUBAR_out_degree,CM_out_degree,Arcan_abs,Arcan_norm,ScaleFree,Int. Clustering & Degree,Int. Clustering & In-degree,Int. Clustering & Out-degree,Int. Clustering & Eigenvector Centrality,Int. Clustering & Betweenness Centrality,Int. Clustering & Closeness Centrality,Int. Clustering & PageRank Centrality,Int. Clustering & Hub Score,Int. Clustering & Authority Score
microservice-consul,order,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,1.0,0.5833333333333333,1.0,-0.416661707146694,-0.4166666666666667,-0.16666666666666669,-0.2893821915069341,-0.08050343080157729,-0.27954098439291397
microservice-consul,catalog,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,1.0,1.0,0.5,-0.4980707467306188,-0.5,0.0,-0.3366515286311593,-0.3628743177262473,-0.2445520881915368
microservice-consul,apache,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,1.0,-0.4166666666666667,1.0,-0.4166666602837581,-0.4166666666666667,-0.4166666666666667,-0.31168972078595797,-0.027081267079261784,-0.4166666666666667
microservice-consul,consul,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,1.0,1.0,-0.4166666666666667,0.5833296112959305,-0.4166666666666667,0.5833333333333333,0.024374969555210624,-0.4166666666666667,-0.0646881725573461
microservice-kafka,invoicing,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,,1.0,1.0,1.0,0.4999994885609091,0.0222222222222222,0.6666666666666666,0.225396473618549,-3.552956327367889e-17,0.3660254037844386
microservice-kafka,order,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,,1.0,1.0,1.0,2.254635160959448e-06,0.0222222222222222,0.3333333333333333,0.0335714285714285,-3.552956327367889e-17,0.2679491924311227
microservice-kafka,shipping,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,,1.0,1.0,1.0,0.4999994885609091,0.0222222222222222,0.6666666666666666,0.225396473618549,-3.552956327367889e-17,0.3660254037844387
microservice-kafka,zookeeper,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,1.0,0.0,1.0,6.441814745598424e-08,0.0,0.0,0.0214285714285714,-3.552956327367889e-17,-0.0
microservice-kafka,kafka,True,True,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,False,True,,1.0,1.0,1.0,0.7071075044663031,0.2,0.75,0.4513499099057592,0.2679491924311227,-9.706857203442391e-17
microservice-kafka,apache,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,1.0,0.0,1.0,6.441814745598424e-08,0.0,0.0,0.0214285714285714,0.3660254037844387,-0.0
microservice-kafka,postgres,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,1.0,0.0,1.0,6.441814745598424e-08,0.0,0.0,0.0214285714285714,0.3660254037844387,-0.0
microservices-basics-spring-boot,web-portal,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,1.0,0.5,0.5,-0.4999998387603632,-0.5,-0.35185185185185186,-0.4484574992234764,-0.4028562482549529,-0.3981151823107147
microservices-basics-spring-boot,user-webservice,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,1.0,0.5,0.5,-0.4999998387603632,-0.5,-0.35185185185185186,-0.4484574992234764,-0.4028562482549529,-0.3981151823107148
microservices-basics-spring-boot,api-gateway,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,1.0,1.0,-0.5,0.4999755431137416,-0.5,0.007936507936507908,-0.2212399058628,-0.5,-0.3865570700774137
microservices-basics-spring-boot,comments-webservice,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,1.0,1.0,0.5,-0.4999615709185857,-0.5,-0.25,-0.42655178211000033,-0.4028562482549529,-0.35969105723262507
microservices-basics-spring-boot,auth-server,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,1.0,0.5,0.5,-0.4999998387603632,-0.5,-0.35185185185185186,-0.4484574992234764,-0.4028562482549529,-0.3981151823107148
microservices-basics-spring-boot,webservice-registry,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,1.0,1.0,0.8333333333333334,-0.1596729768355998,-0.0972222222222222,0.513888888888889,0.10064725800899801,-0.1201330804880393,0.0701573721969457
microservices-basics-spring-boot,task-webservice,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,1.0,0.5,1.0,-0.4999998387603632,-0.5,-0.35185185185185186,-0.4484574992234764,-0.345302390254695,-0.3981151823107148
microservices-basics-spring-boot,configserver,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,,1.0,0.9027777777777778,1.0,-0.09722222176993887,0.013888888888888909,0.013888888888888909,-0.017532329635891297,0.3129715748736567,-0.0972222222222222
microservices-basics-spring-boot,zipkin-tracing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,1.0,1.0,0.0,1.6123963679684946e-07,0.0,0.1481481481481481,0.0515425007765236,-0.0,0.1018848176892852
